time	V(n003)	V(n004)
9.296356106350268e-03	-1.428153e+00	9.578817e-03
9.336356106350308e-03	-1.229071e+00	8.563735e-03
9.376356106350348e-03	-9.456460e-01	7.010561e-03
9.416356106350388e-03	-6.063603e-01	5.016889e-03
9.456356106350428e-03	-2.417355e-01	2.707987e-03
9.496356106350468e-03	1.195388e-01	2.289326e-04
9.536356106350508e-03	4.539138e-01	-2.264507e-03
9.576356106350548e-03	7.442943e-01	-4.615659e-03
9.616356106350588e-03	9.797770e-01	-6.676792e-03
9.656356106350628e-03	1.154392e+00	-8.318398e-03
9.696356106350668e-03	1.265446e+00	-9.437328e-03
9.736356106350708e-03	1.312017e+00	-9.963277e-03
9.759918321080252e-03	1.308664e+00	-9.980588e-03
9.781146153098774e-03	1.286739e+00	-9.809123e-03
9.815591185959538e-03	1.212749e+00	-9.162731e-03
9.855591185959578e-03	1.067122e+00	-7.878729e-03
9.895591185959618e-03	8.585052e-01	-6.099678e-03
9.935591185959658e-03	5.912758e-01	-3.937361e-03
9.975591185959698e-03	2.739928e-01	-1.527646e-03
1.000000000000001e-02	6.160048e-02	-6.428333e-15
