time	V(n003)	V(n004)
5.063840411172027e-03	-5.093972e-01	3.904507e-03
5.103840411172067e-03	-8.521839e-01	6.071338e-03
5.143840411172107e-03	-1.146602e+00	7.856685e-03
5.183840411172147e-03	-1.363442e+00	9.148367e-03
5.223840411172187e-03	-1.479586e+00	9.865223e-03
5.255203057081492e-03	-1.491924e+00	9.994657e-03
5.273471651970008e-03	-1.466441e+00	9.891450e-03
5.303165925139242e-03	-1.374620e+00	9.447218e-03
5.343165925139282e-03	-1.163427e+00	8.335029e-03
5.383165925139322e-03	-8.738343e-01	6.699119e-03
5.423165925139362e-03	-5.344796e-01	4.642279e-03
5.463165925139402e-03	-1.755317e-01	2.293748e-03
5.503165925139442e-03	1.760508e-01	-1.989078e-04
5.543165925139482e-03	4.976737e-01	-2.679066e-03
5.583165925139522e-03	7.738620e-01	-4.990888e-03
5.623165925139562e-03	9.948937e-01	-6.989114e-03
5.663165925139602e-03	1.155621e+00	-8.548189e-03
5.703165925139642e-03	1.253833e+00	-9.570150e-03
5.743165925139682e-03	1.288821e+00	-9.990782e-03
5.762458581581198e-03	1.282485e+00	-9.969377e-03
5.785278547151718e-03	1.256550e+00	-9.755335e-03
5.822263639171821e-03	1.171069e+00	-8.986799e-03
5.862263639171861e-03	1.018143e+00	-7.613696e-03
5.902263639171901e-03	8.039334e-01	-5.762197e-03
5.942263639171941e-03	5.332825e-01	-3.548637e-03
5.982263639171981e-03	2.153365e-01	-1.112103e-03
6.022263639172021e-03	-1.348524e-01	1.394308e-03
6.062263639172061e-03	-4.956608e-01	3.813110e-03
6.102263639172101e-03	-8.397390e-01	5.992319e-03
6.142263639172141e-03	-1.136654e+00	7.795010e-03
6.182263639172181e-03	-1.357054e+00	9.107911e-03
6.222263639172221e-03	-1.477492e+00	9.848529e-03
6.254602828662525e-03	-1.492701e+00	9.995818e-03
6.272494468075318e-03	-1.468806e+00	9.900286e-03
6.301581150125690e-03	-1.381381e+00	9.479397e-03
6.341581150125730e-03	-1.173814e+00	8.389631e-03
6.381581150125770e-03	-8.867865e-01	6.772714e-03
6.421581150125810e-03	-5.488114e-01	4.730242e-03
6.461581150125850e-03	-1.900793e-01	2.390552e-03
6.501581150125890e-03	1.622983e-01	-9.934496e-05
